name,winery,year,rating,num_ratings,price,type,region
Saint-Émilion Grand Cru (Grand Cru Classé) 2016,Château Fonroque,2016,4.0,158,48.95,Red,Saint-Émilion Grand Cru
Series M 2015,Vilafonté,2015,4.4,158,51.41,Red,Paarl
Montepulciano d'Abruzzo 2013,Collefrisio,2013,3.8,158,13.95,Red,Montepulciano d'Abruzzo
Médoc 2015,Clos Manou,2015,3.9,158,27.9,Red,Médoc
Selección La Aguilera 2015,Dominio de Cair,2015,4.1,158,18.99,Red,Ribera del Duero
Freestone-Occidental Pinot Noir 2015,Occidental,2015,4.4,158,69.0,Red,Sonoma Coast
Reserva Carmenère 2018,Santa Rita,2018,3.5,158,9.65,Red,Rapel Valley
Impossible Red 2018,Laborie,2018,3.8,158,8.21,Red,Paarl
Lamaione Toscana 2013,Tenuta CastelGiocondo,2013,4.1,158,57.51,Red,Toscana
Vendemmia d'Artista La Tensione 2016,Ornellaia,2016,4.5,158,212.49,Red,Bolgheri Superiore
La Baraja 2016,Bodegas Vilano,2016,4.6,158,31.5,Red,Ribera del Duero
La Montesa 2017,Palacios Remondo,2017,3.9,158,14.13,Red,Rioja
Gazur 2018,Telmo Rodriguez,2018,3.4,158,9.95,Red,Ribera del Duero
Vino Nobile di Montepulciano 2015,Avignonesi,2015,3.9,1582,19.39,Red,Vino Nobile di Montepulciano
